8b5e09d8-ff2a-458b-b419-559302ef0ac7,8b5e09d8-ff2a-458b-b419-559302ef0ac7,Hanoi,Downtown,12/12/2022,13/12/2022,100
ba2971ac-add2-4804-9516-b8abc975cfc9,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Hanoi,Hoan Kiem district,14/12/2022,17/12/2022,200
ae0e6e3c-fee5-4f53-83d0-a7a3ac4a8e4c,ba2971ac-add2-4804-9516-b8abc975cfc9,Da Nang,Son Tra district,12/12/2022,15/12/2022,170
a62cd86f-303e-47fc-a381-59c7b8842436,8b5e09d8-ff2a-458b-b419-559302ef0ac7,Saigon,Sunrise Apartment,22/12/2022,29/12/2022,60
2994ddab-59e2-4818-9916-a157112e1807,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Da Nang,district 3,01/06/2022,01/06/2023,16
d87efef7-b6a6-4a3a-8a67-5020047c421e,ba2971ac-add2-4804-9516-b8abc975cfc9,Hanoi,Hoang Mai district,01/01/2022,01/01/2023,60
8b5e09d8-ff2a-458b-b419-559302ef0ac7,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Da Nang,district 8,01/01/2023,07/08/2024,80
8b5e09d8-ff2a-458b-b419-559302ef0ac7,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Saigon,Thu Duc,12/05/2022,12/12/2022,90
ba2971ac-add2-4804-9516-b8abc975cfc9,f62672da-9562-4c17-88db-92d21cc7431e,Hanoi,Bac Tu Liem,09/04/2022,09/06/2023,330
8b5e09d8-ff2a-458b-b419-559302ef0ac7,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Hanoi,Phuc's house,12/09/2022,18/12/2022,80
8b5e09d8-ff2a-458b-b419-559302ef0ac7,51506de4-ae9d-4084-bb0b-4753ed7bfec5,Saigon,Tu's house,12/09/2022,12/06/2023,20
ba2971ac-add2-4804-9516-b8abc975cfc9,f62672da-9562-4c17-88db-92d21cc7431e,Saigon,Luong's house,12/04/2022,12/09/2023,19
557dde6c-7547-4325-9b83-e7b55ffc9220,58c886d6-51c2-43f7-8366-720b89bd7c7f,Da Nang,Thu's house,12/09/2022,12/08/2024,200
ae0e6e3c-fee5-4f53-83d0-a7a3ac4a8e4c,c1d08519-3326-4474-b475-45299d9c73f5,Hanoi,White House,12/03/2022,12/08/2022,200
0f648563-4b6d-467a-929b-51091b3bddf2,8e5ffba8-383d-460b-9b8a-0c156f1e98e0,Saigon,Green house,12/03/2022,16/12/2029,1000
